time,V
375.36,4.60E-01
375.87,4.60E-01
376.38,4.60E-01
376.89,4.60E-01
377.4,4.60E-01
377.91,4.59E-01
378.42,4.59E-01
378.93,4.59E-01
379.44,4.59E-01
379.95,4.59E-01
380.46,4.59E-01
380.97,4.59E-01
381.48,4.59E-01
381.99,4.59E-01
382.5,4.59E-01
383.01,4.58E-01
383.52,4.58E-01
384.03,4.58E-01
384.54,4.58E-01
385.05,4.58E-01
385.56,4.58E-01
386.07,4.58E-01
386.58,4.58E-01
387.09,4.58E-01
387.6,4.58E-01
388.11,4.57E-01
388.62,4.57E-01
389.13,4.57E-01
389.64,4.57E-01
390.15,4.57E-01
390.66,4.57E-01
391.17,4.57E-01
391.68,4.57E-01
392.19,4.57E-01
392.7,4.57E-01
393.21,4.57E-01
393.72,4.57E-01
394.23,4.56E-01
394.74,4.56E-01
395.25,4.56E-01
395.76,4.56E-01
396.27,4.56E-01
396.78,4.56E-01
397.29,4.56E-01
397.8,4.56E-01
398.31,4.56E-01
398.82,4.56E-01
399.33,4.55E-01
399.84,4.55E-01
400.35,4.55E-01
400.86,4.55E-01
401.37,4.55E-01
401.88,4.55E-01
402.39,4.55E-01
402.9,4.55E-01
403.41,4.55E-01
403.92,4.55E-01
404.43,4.54E-01
404.94,4.54E-01
405.45,4.54E-01
405.96,4.54E-01
406.47,4.54E-01
406.98,4.54E-01
407.49,4.54E-01
408,4.54E-01
408.51,4.54E-01
409.02,4.54E-01
409.53,4.54E-01
410.04,4.53E-01
410.55,4.53E-01
411.06,4.53E-01
411.57,4.53E-01
412.08,4.53E-01
412.59,4.53E-01
413.1,4.53E-01
413.61,4.53E-01
414.12,4.53E-01
414.63,4.53E-01
415.14,4.53E-01
415.65,4.53E-01
416.16,4.52E-01
416.67,4.52E-01
417.18,4.52E-01
417.69,4.52E-01
418.2,4.52E-01
418.71,4.52E-01
419.22,4.52E-01
419.73,4.52E-01
420.24,4.52E-01
420.75,4.52E-01
421.26,4.51E-01
421.77,4.51E-01
422.28,4.51E-01
422.79,4.51E-01
423.3,4.51E-01
423.81,4.51E-01
424.32,4.51E-01
424.83,4.51E-01
425.34,4.51E-01
425.85,4.51E-01
426.36,4.51E-01
426.87,4.50E-01
427.38,4.50E-01
427.89,4.50E-01
428.4,4.50E-01
428.91,4.50E-01
429.42,4.50E-01
429.93,4.50E-01
430.44,4.50E-01
430.95,4.50E-01
431.46,4.50E-01
431.97,4.50E-01
432.48,4.49E-01
432.99,4.49E-01
433.5,4.49E-01
434.01,4.49E-01
434.52,4.49E-01
435.03,4.49E-01
435.54,4.49E-01
436.05,4.49E-01
436.56,4.49E-01
437.07,4.49E-01
437.58,4.49E-01
438.09,4.49E-01
438.6,4.49E-01
439.11,4.48E-01
439.62,4.48E-01
440.13,4.48E-01
440.64,4.48E-01
441.15,4.48E-01
441.66,4.48E-01
442.17,4.48E-01
442.68,4.48E-01
443.19,4.48E-01
443.7,4.48E-01
444.21,4.48E-01
444.72,4.47E-01
445.23,4.47E-01
445.74,4.47E-01
446.25,4.47E-01
446.76,4.47E-01
447.27,4.47E-01
447.78,4.47E-01
448.29,4.47E-01
448.8,4.47E-01
449.31,4.47E-01
449.82,4.47E-01
450.33,4.46E-01
450.84,4.46E-01
451.35,4.46E-01
451.86,4.46E-01
452.37,4.46E-01
452.88,4.46E-01
453.39,4.46E-01
453.9,4.46E-01
454.41,4.46E-01
454.92,4.46E-01
455.43,4.46E-01
455.94,4.45E-01
456.45,4.45E-01
456.96,4.45E-01
457.47,4.45E-01
457.98,4.45E-01
458.49,4.45E-01
459,4.45E-01
459.51,4.45E-01
460.02,4.45E-01
460.53,4.45E-01
461.04,4.45E-01
461.55,4.45E-01
462.06,4.44E-01
462.57,4.44E-01
463.08,4.44E-01
463.59,4.44E-01
464.1,4.44E-01
464.61,4.44E-01
465.12,4.44E-01
465.63,4.44E-01
466.14,4.44E-01
466.65,4.44E-01
467.16,4.44E-01
467.67,4.44E-01
468.18,4.43E-01
468.69,4.43E-01
469.2,4.43E-01
469.71,4.43E-01
470.22,4.43E-01
